crane_type,crane_capacity_kg,boom_length_m,boom_angle_deg,lifting_radius_m,hook_height_m,load_type,load_weight_kg,load_area_m2,wind_speed_ms,gust_speed_ms,wind_direction_deg,temperature_c,humidity_percent,air_pressure_hpa,visibility_m,rain_mm,crane_tilt_deg,operator_experience_years,risk_score,safety_status
Tower Crane,8000,41.0,42,17.8,26.0,Concrete Block,3771,2.48,4.8,6.0,302,16.1,28,994.2,4311,0.0,0.3,17,21.78,Safe
Tower Crane,8000,62.4,70,41.0,58.8,Glass Panel,659,10.71,2.9,3.9,3,32.9,45,1021.4,6074,5.7,0.43,9,18.0,Safe
Mobile Crane,5000,26.5,73,12.9,23.7,Concrete Block,2470,2.69,1.0,1.3,22,31.5,93,995.6,6701,0.0,0.04,3,17.61,Safe
Crawler Crane,12000,81.5,64,64.1,72.7,Glass Panel,921,6.56,3.2,4.1,148,44.3,54,1029.0,6727,1.7,0.37,9,17.34,Safe
Rough Terrain Crane,7000,47.2,48,18.4,34.5,Steel Pipe,592,4.44,5.3,5.9,125,3.2,73,1002.1,9625,3.4,0.26,8,15.5,Safe
Crawler Crane,12000,82.1,74,27.2,80.2,Machinery,2443,3.61,2.7,3.0,290,38.8,65,999.6,8679,0.0,0.22,13,11.73,Safe
Rough Terrain Crane,7000,30.0,33,13.1,16.6,Steel Pipe,2054,5.59,5.5,6.5,112,44.9,42,1012.9,1989,0.0,0.38,25,19.75,Safe
Tower Crane,8000,74.4,34,48.0,42.8,Wind Turbine Blade,2721,15.95,5.9,7.0,239,21.5,95,1028.7,688,0.0,0.23,22,27.22,Safe
Tower Crane,8000,67.3,59,48.0,58.8,Machinery,1256,3.76,6.8,7.5,1,42.7,58,1033.7,3427,0.0,0.48,17,22.24,Safe
Tower Crane,8000,74.8,44,57.1,52.0,Glass Panel,356,8.99,2.2,2.4,271,40.9,66,1012.0,2332,0.0,0.76,30,13.92,Safe
Crawler Crane,12000,83.9,44,36.2,57.2,Concrete Block,1350,2.46,2.5,3.3,272,33.3,41,1019.7,9507,0.0,0.2,6,11.24,Safe
Crawler Crane,12000,66.4,63,35.4,58.0,Glass Panel,930,8.49,10.8,15.1,332,13.7,91,1010.3,4561,3.5,0.17,8,28.81,Safe
Tower Crane,8000,53.5,62,32.3,47.6,Steel Beam,790,3.12,4.3,4.6,34,40.3,67,993.2,4399,9.3,0.56,9,18.36,Safe
Rough Terrain Crane,7000,32.5,33,22.7,19.2,Precast Wall,1995,10.49,3.2,4.3,97,-0.3,80,1005.9,7235,3.2,0.25,15,20.94,Safe
Tower Crane,8000,66.9,66,23.7,60.7,Machinery,1247,3.49,2.1,2.3,229,2.0,48,1002.5,4592,0.0,0.27,28,8.69,Safe
Tower Crane,8000,57.7,60,20.4,50.6,Steel Beam,882,3.78,3.9,5.3,85,15.3,86,999.6,7070,0.0,0.52,29,11.07,Safe
Tower Crane,8000,46.6,25,39.2,18.8,Precast Wall,2168,7.96,4.0,5.5,284,28.1,87,997.0,5361,0.0,0.24,7,23.69,Safe
Tower Crane,8000,63.2,59,21.1,53.4,Steel Beam,2892,2.43,8.9,12.2,271,2.9,90,993.6,3544,0.0,0.38,3,28.13,Safe
Tower Crane,8000,67.0,40,35.0,44.8,Glass Panel,792,10.76,0.5,0.6,214,27.9,97,1013.5,4772,2.7,0.47,7,13.17,Safe
Crawler Crane,12000,51.9,50,19.3,40.3,Precast Wall,2295,11.5,8.0,11.0,4,17.9,97,1034.8,1700,0.0,0.11,18,24.07,Safe
Mobile Crane,5000,35.2,33,28.6,20.7,Glass Panel,578,8.28,9.9,11.9,278,30.2,92,990.4,9586,0.0,0.53,10,29.12,Safe
Tower Crane,8000,77.6,33,34.6,43.8,Shipping Container,2615,12.25,1.8,2.0,175,5.2,58,1012.7,4614,0.0,0.16,29,15.06,Safe
Tower Crane,8000,43.7,52,33.0,32.6,Machinery,3958,2.78,8.0,11.1,82,32.1,95,1021.8,9689,3.5,0.29,1,33.03,Safe
Tower Crane,8000,43.0,69,34.3,40.3,Machinery,3185,5.32,5.6,6.7,21,10.4,30,1030.5,3941,2.1,0.01,22,25.01,Safe
Mobile Crane,5000,40.0,47,29.2,30.8,Wind Turbine Blade,3494,24.31,8.4,9.3,121,38.2,47,1029.7,906,5.5,0.3,6,45.16,Warning
Crawler Crane,12000,79.1,51,58.6,62.9,Glass Panel,473,7.27,5.8,7.5,195,38.6,85,1000.0,8041,0.0,0.45,12,19.92,Safe
Crawler Crane,12000,81.0,39,34.2,51.6,Wind Turbine Blade,2172,19.18,1.1,1.2,142,12.6,90,1008.0,9285,0.0,0.51,11,15.74,Safe
Tower Crane,8000,44.6,41,17.8,31.1,Steel Pipe,456,2.43,5.9,7.1,160,16.8,90,995.2,9946,0.3,0.31,7,15.27,Safe
Crawler Crane,12000,42.2,52,12.7,35.0,Glass Panel,572,9.45,5.1,7.0,169,26.2,40,1022.4,5420,0.0,0.42,17,15.1,Safe
Crawler Crane,12000,73.3,45,38.2,51.0,Shipping Container,2285,13.36,2.0,2.8,346,32.4,47,1017.7,5430,0.0,0.05,13,15.95,Safe
Tower Crane,8000,52.2,38,28.0,32.5,Machinery,2704,4.65,11.4,14.7,261,18.7,46,1019.6,5149,2.5,0.55,17,32.66,Safe
Crawler Crane,12000,44.7,73,19.2,42.0,Glass Panel,350,6.2,10.0,11.4,243,25.6,34,1010.5,9931,0.0,0.35,7,22.73,Safe
Rough Terrain Crane,7000,42.3,40,16.1,27.9,Concrete Block,4188,1.85,10.5,11.7,356,20.9,31,1015.1,2488,5.1,0.25,15,33.67,Safe
Mobile Crane,5000,44.0,67,26.1,40.7,Machinery,3893,7.35,10.5,13.3,258,16.3,95,1010.1,3107,0.0,0.1,24,39.22,Warning
Rough Terrain Crane,7000,40.8,73,17.8,39.6,Precast Wall,3567,6.67,3.6,4.3,146,6.7,67,1004.4,9349,4.8,0.11,3,23.27,Safe
Mobile Crane,5000,24.5,49,16.7,19.3,Concrete Block,2699,1.82,9.8,12.2,212,-1.9,78,1007.5,820,1.0,0.13,28,32.34,Safe
Rough Terrain Crane,7000,41.7,47,19.4,30.1,Wind Turbine Blade,2602,26.21,5.1,6.3,308,39.9,87,999.9,7640,0.0,0.11,16,27.48,Safe
Tower Crane,8000,55.6,67,37.4,50.8,Shipping Container,3414,17.36,4.5,6.3,273,-3.7,75,1016.6,944,0.5,0.32,3,30.9,Safe
Rough Terrain Crane,7000,29.7,54,11.9,23.1,Machinery,1666,4.73,6.0,7.0,194,8.9,78,1001.4,1841,0.0,0.62,16,20.75,Safe
Tower Crane,8000,70.0,28,59.5,32.3,Concrete Block,4199,2.91,13.2,14.0,15,42.5,50,1027.8,2996,0.0,0.19,8,41.29,Warning
Mobile Crane,5000,34.2,32,20.9,17.0,Steel Pipe,1810,2.67,4.1,5.2,58,33.9,45,1033.4,2271,1.3,0.07,19,20.04,Safe
Tower Crane,8000,77.2,61,51.9,69.4,Wind Turbine Blade,3428,25.73,5.9,6.4,353,36.5,56,994.6,5441,0.4,0.29,28,30.65,Safe
Tower Crane,8000,71.8,61,52.4,62.2,Wind Turbine Blade,2854,20.56,2.8,3.4,174,-4.4,78,1027.0,2229,2.0,0.2,14,26.08,Safe
Crawler Crane,12000,71.8,54,49.5,57.8,Steel Pipe,2280,3.86,3.7,5.0,303,8.4,56,1027.4,1919,4.4,0.43,9,20.17,Safe
Rough Terrain Crane,7000,33.5,54,20.5,27.8,Machinery,917,4.97,3.6,4.2,249,5.6,58,1005.3,5026,0.0,0.62,18,16.02,Safe
Tower Crane,8000,60.7,37,21.1,37.4,Precast Wall,3274,10.31,7.0,9.0,330,30.6,82,1025.7,2024,2.8,0.86,10,29.3,Safe
Mobile Crane,5000,32.1,40,15.0,21.0,Precast Wall,3267,8.72,2.2,2.6,281,11.5,83,1002.2,4618,0.0,0.48,8,25.27,Safe
Tower Crane,8000,68.9,45,25.2,48.9,Shipping Container,2284,11.73,3.2,3.9,301,43.8,92,1016.9,2147,1.3,0.05,27,16.31,Safe
Mobile Crane,5000,28.9,48,11.5,19.5,Shipping Container,2623,10.36,7.4,7.9,149,29.9,41,1018.7,8542,1.0,0.09,4,29.59,Safe
Tower Crane,8000,63.0,55,35.5,51.0,Steel Beam,1534,3.82,3.5,4.3,33,15.0,34,1016.0,1378,0.0,0.34,5,18.26,Safe
Mobile Crane,5000,44.3,44,15.4,29.8,Wind Turbine Blade,2741,23.94,7.6,9.6,267,14.0,81,1003.4,7525,2.9,0.15,10,34.69,Safe
Tower Crane,8000,64.4,72,22.8,62.3,Glass Panel,470,11.28,2.7,3.0,88,22.6,45,990.1,7881,0.0,0.1,23,9.97,Safe
Rough Terrain Crane,7000,35.2,39,16.1,21.3,Precast Wall,1291,9.81,11.3,15.5,320,24.5,50,1009.1,9422,0.0,0.37,8,30.37,Safe
Mobile Crane,5000,47.3,34,16.0,25.1,Steel Pipe,1482,3.76,7.3,8.9,155,30.0,59,1012.5,8590,1.7,0.59,15,22.18,Safe
Tower Crane,8000,63.9,52,45.0,50.8,Steel Beam,874,1.69,6.1,7.8,294,24.4,27,1035.0,4915,0.0,0.14,19,18.35,Safe
Tower Crane,8000,70.5,36,39.4,42.0,Steel Pipe,1043,5.99,10.6,12.7,251,43.5,85,1005.7,5960,1.8,0.43,11,27.82,Safe
Tower Crane,8000,74.3,46,39.1,53.4,Wind Turbine Blade,3166,26.41,4.5,4.8,45,10.7,66,995.2,7122,4.9,0.06,28,26.29,Safe
Tower Crane,8000,66.3,59,36.7,55.0,Machinery,3350,6.54,10.6,13.5,26,5.2,95,995.9,5219,1.8,0.3,15,33.25,Safe
Rough Terrain Crane,7000,29.2,65,18.5,25.4,Shipping Container,2772,14.41,7.1,8.8,47,6.2,39,1010.8,2424,1.7,0.45,21,30.39,Safe
Mobile Crane,5000,35.0,70,16.1,33.7,Wind Turbine Blade,3209,22.24,0.7,0.9,233,22.6,74,998.6,8827,1.9,0.01,24,22.95,Safe
Mobile Crane,5000,45.9,42,33.3,32.1,Machinery,2879,3.6,0.5,0.5,152,36.9,99,1035.0,8522,1.5,0.17,28,17.49,Safe
Mobile Crane,5000,33.4,55,16.4,27.6,Wind Turbine Blade,2432,28.99,7.6,10.3,357,6.9,74,1000.5,7230,0.0,0.4,2,38.28,Warning
Crawler Crane,12000,77.2,70,61.9,72.1,Shipping Container,3528,17.72,7.8,8.5,302,11.6,37,1029.3,7713,0.0,0.14,4,32.3,Safe
Rough Terrain Crane,7000,25.5,34,13.4,14.9,Shipping Container,1806,13.76,8.2,11.4,173,26.2,75,1019.2,5883,3.9,0.32,28,26.85,Safe
